"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3349931";"";"None";"343.47";"0";"3.20";"20";"CC(=O)NC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"Inhibition";"'='";"13.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657134";"Inhibition of 1.25 uM [1-3H]-androst-4-ene-3,17-dione binding to Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122664";"1";"Scientific Literature";"J Med Chem";"1984";"None";"";"";""
"CHEMBL2111947";"";"None";"315.50";"0";"3.90";"3";"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL666794";"Inhibition of Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133116";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";""
"CHEMBL150448";"";"None";"247.30";"0";"0.94";"14";"CCC1(c2ccc(N)cc2)CCC(=O)N(N)C1=O";"Inhibition";"'='";"32.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL661754";"Inhibition of human placental aromatase Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122309";"1";"Scientific Literature";"J Med Chem";"1983";"None";"";"";""
"CHEMBL289116";"ROGLETIMIDE";"2.0";"218.26";"0";"1.17";"1";"CCC1(c2ccncc2)CCC(=O)NC1=O";"IC50";"'='";"45000.0";"nM";"4.35";"";"";"UO_0000065";"19.92";"0.37";"3.18";"7.36";"0";"CHEMBL666800";"Inhibition of human placental cytochrome P450 19A1 with androstenedione";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123885";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";""
"CHEMBL39782";"";"None";"232.28";"0";"1.51";"14";"CCC1(c2ccncc2)CCC(=O)N(C)C1=O";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"19.47";"0.36";"3.01";"9.00";"0";"CHEMBL666799";"Inhibitory activity against human placental cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123885";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";""
"CHEMBL95109";"";"None";"306.37";"0";"4.00";"5 (trans)";"COc1ccc2c(c1)OC(c1ccccc1)CC2n1ccnc1";"IC50";"'='";"91.0";"nM";"7.04";"";"";"UO_0000065";"22.98";"0.42";"3.04";"19.41";"0";"CHEMBL649354";"Inhibition of aromatase activity in human placental microsomes";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135202";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";""
"CHEMBL433728";"";"None";"226.34";"0";"4.19";"22";"c1ccc2c(c1)CCC1C(c3ccsc3)C21";"IC50";"'>'";"250000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL661699";"In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129578";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL2311169";"";"None";"272.43";"0";"4.91";"21";"C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"IC50";"'='";"660.0";"nM";"6.18";"";"";"UO_0000065";"22.69";"0.42";"1.27";"36.21";"0";"CHEMBL663241";"In vitro competitive inhibitory activity was measured on Cytochrome P450 19A1 of human placental microsomes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127575";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";""
"CHEMBL270301";"";"None";"393.36";"0";"4.33";"65";"O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1cccc([N+](=O)[O-])c1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";"";"";""
"CHEMBL220792";"";"None";"370.81";"0";"3.22";"36";"CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(Cl)cc1)S(C)(=O)=O";"IC50";"'='";"2400.0";"nM";"5.62";"";"";"UO_0000065";"15.16";"0.32";"2.40";"6.26";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";"";"";""
