molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL313774,O=C1/C(=C/c2ccncc2)CCc2ccc(O)cc21,AAARKAYZOWLPBX-UKTHLTGXSA-N,5.52,CHEMBL1125863
CHEMBL4087613,CCN(CC)c1ccc2cc(-c3cnco3)c(=O)oc2c1,AAERCJJMMQESJP-UHFFFAOYSA-N,5.51,CHEMBL4020780
CHEMBL3753297,CC(=O)O[C@]12CCCCC1=CC(=O)[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,AANWPSJJHRRISJ-HVXNZKGKSA-N,5.96,CHEMBL3751755
CHEMBL4536893,O=[N+]([O-])c1ccc(N(Cc2ccccc2)n2cnnc2)cc1Br,ABCAGXYFNPKNRK-UHFFFAOYSA-N,7.4,CHEMBL4477276
CHEMBL3623222,C[C@]12CC[C@H]3[C@@H](C[C@H]4OC[C@@]35CCC(=O)C=C45)[C@@H]1CCC2=O,ABDBICZRDFSYAS-ZEHJPDPISA-N,5.01,CHEMBL3621095
CHEMBL135095,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1cccnc1,ABHKGUVAJPJXRQ-NAYOJDKUSA-N,5.77,CHEMBL1128320
CHEMBL1215664,Oc1ccc(-c2ccc(C(O)c3ccncc3)cc2)cc1,ABUNZHUAYBOXCN-UHFFFAOYSA-N,5.51,CHEMBL1212925
CHEMBL1688892,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2o1,ABYADXYJTVWBHA-UHFFFAOYSA-N,6.63,CHEMBL3352054
CHEMBL4176600,Fc1ccc(-c2[nH]c3cc(F)ccc3c2Cn2cncn2)cc1,ACESEBBYNPGPSX-UHFFFAOYSA-N,7.26,CHEMBL4138218
CHEMBL224391,Cc1oc2c(C#N)ccc(Cn3ccnc3)c2c1C,ACHBWPARVVWKQE-UHFFFAOYSA-N,7.74,CHEMBL1139479
CHEMBL98998,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(F)F)C1CCC2=O,ACUQDKXLALFOFQ-PTNVGKEZSA-N,9.0,CHEMBL1124997
CHEMBL3753997,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C(F)F)[C@@H]1CCC2=O,ACUQDKXLALFOFQ-UNTXSKPGSA-N,5.7,CHEMBL5241054
CHEMBL3407537,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,ACZFVFMOZUAEEW-XXWSGHEVSA-N,6.01,CHEMBL3407463
CHEMBL328546,CCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,ADGORZBWFVODME-MRXNPFEDSA-N,4.4,CHEMBL1125058
CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,ADGORZBWFVODME-UHFFFAOYSA-N,4.4,CHEMBL1123885
CHEMBL1824757,CCCCCCc1cn(C(c2ccccc2)c2ccccc2)nn1,ADNPVQOMHZLIIA-UHFFFAOYSA-N,4.83,CHEMBL1821589
CHEMBL193555,C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,ADQBWRCDKUIPFI-QGOAFFKASA-N,5.39,CHEMBL1142706
CHEMBL3753505,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43C)[C@@H]1CC[C@@H]2O,ADWFPYROOHCVON-DYKIIFRCSA-N,7.24,CHEMBL3751755
CHEMBL68674,CC12CCCCC1=CCC1C2CCC2(C)C(O)CCC12,ADWFPYROOHCVON-UHFFFAOYSA-N,5.02,CHEMBL1127575
CHEMBL5281465,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(O)CC[C@@H]12,ADWFPYROOHCVON-XZIMXZIZSA-N,4.52,CHEMBL5241054
CHEMBL367483,N#Cc1ccc2c(c1)CCC/C2=C/c1c[nH]cn1,AEBLXEQBDHHLKP-QPEQYQDCSA-N,6.9,CHEMBL1144350
CHEMBL5283375,CSCSC1=C2CC[C@@H]3C(=CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1=O,AEGNSDNTMXTJJB-FWSJURHISA-N,5.92,CHEMBL5241054
CHEMBL274826,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,6.92,CHEMBL5241054
CHEMBL3752099,C[C@]12C=CC(=O)C=C1C(c1ccc(O)cc1)=C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEWXRYHDXYERTJ-UFYKXHCUSA-N,7.12,CHEMBL3751755
CHEMBL333185,CCCC[C@H]1C[C@](CC)(c2ccncc2)C(=O)NC1=O,AEZNVKGHVAKQJM-BLLLJJGKSA-N,5.06,CHEMBL1125308
CHEMBL1630910,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@]43C)[C@@H]1CCC2=O,AFGDPPHTYUQKOF-FYAJOAKPSA-N,6.18,CHEMBL1629480
CHEMBL2311169,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AFGDPPHTYUQKOF-QAGGRKNESA-N,6.474,CHEMBL1127575
CHEMBL148903,Nc1ccc(C2CC(=O)NC2=O)cc1,AFLGSUFOCCZEEZ-UHFFFAOYSA-N,4.845,CHEMBL1123156
CHEMBL521591,Clc1ccccc1CN(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,AFNOTNUJWWGNFE-UHFFFAOYSA-N,6.52,CHEMBL1144209
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,AGDFPJBCGAJMIS-UHFFFAOYSA-N,6.62,CHEMBL1131917
CHEMBL1933693,O=C(O[C@@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccccc1)c1ccccc1,AGEXGCQZPJCKJO-GOTSBHOMSA-N,7.0,CHEMBL1933061
CHEMBL416282,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(=O)CBr)C1CCC2=O,AGHFYYSPGSRXOM-IETUKNSDSA-N,6.72,CHEMBL1125704
CHEMBL5280054,CCCCCCCC1=C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AGJPYTIZPSAGHZ-GIDZJRPFSA-N,6.22,CHEMBL5241054
CHEMBL480514,Oc1ccc(C(c2ccc(O)cc2)n2cncn2)cc1,AGSUQRPIHMSTHE-UHFFFAOYSA-N,6.75,CHEMBL1155113
CHEMBL1688904,COc1cccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1,AGUAUTLGGPRVJG-UHFFFAOYSA-N,6.54,CHEMBL1687929
CHEMBL2163641,C=C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,AHCDMEKROUDJMW-UHFFFAOYSA-N,7.77,CHEMBL2163333
CHEMBL3754720,C[C@]12C[C@@H](Cl)C(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AHGJXKIDQVPEIT-YOTXKYLOSA-N,6.6,CHEMBL3751755
CHEMBL431843,CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,AHYRWGKJSFMLOD-UHFFFAOYSA-N,4.29,CHEMBL1129610
CHEMBL55083,C(\Cn1ccnc1)=C1\CCCc2occc21,AHZCDINNUVENGR-NYYWCZLTSA-N,5.62,CHEMBL1133604
CHEMBL56059,C(\Cn1ccnc1)=C1/CCCc2occc21,AHZCDINNUVENGR-WCIBSUBMSA-N,5.42,CHEMBL1133604
CHEMBL1956171,N#Cc1ccc(Oc2cccnc2)cc1,AIFAURQOXGQJRN-UHFFFAOYSA-N,6.54,CHEMBL1955805
CHEMBL5285990,CCCC1=C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AJFJTDQUMLLUNW-SPAGYVKCSA-N,5.76,CHEMBL5241054
CHEMBL1629802,C[C@]12CC[C@H]3O[C@H]3[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,ALHYGULCJHAJFX-CWBKUMBBSA-N,6.9929,CHEMBL2057175
CHEMBL193858,COc1cc2c(cc1OC)/C(=C/c1ccncc1)CCC2,ALKBRINRCIWZDA-GXDHUFHOSA-N,6.05,CHEMBL1240479
CHEMBL9179,O=C1/C(=C\c2ccncc2)C(c2ccccc2)c2ccccc21,ALLOQIRZHVQYIA-RGEXLXHISA-N,7.045,CHEMBL1130802
CHEMBL2440145,COc1ccc(-c2cc(CO)c3ccc4[nH]ccc4c3n2)cc1,ALOHBKMCGIQNSY-UHFFFAOYSA-N,6.04,CHEMBL2440047
CHEMBL3752998,CCCCCC(=O)O[C@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C12,AMIDPDOKRBRJTC-TTZDETBQSA-N,7.605,CHEMBL3751755
CHEMBL5275417,CCCCCC(=O)O[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C12,AMIDPDOKRBRJTC-VSTXHWDQSA-N,6.28,CHEMBL5241054
CHEMBL2003274,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)/C(=C/c3ccncc3)C[C@@H]12,AMKILYGJOCKGND-QAPYAIODSA-N,5.28,CHEMBL3621095
CHEMBL5291258,C[C@]12CC[C@@H]3C4CCC=CC4=CC(=O)[C@H]3[C@@H]1CCC2=O,AMNWQOATBFQMRP-MXDZRLJMSA-N,4.48,CHEMBL5241054
CHEMBL71612,CC12CCC3C4CCC=CC4=CC(=O)C3C1CCC2=O,AMNWQOATBFQMRP-UHFFFAOYSA-N,5.0,CHEMBL1127575
CHEMBL5269029,Cc1ccc(CC[C@@H]2C[C@@]3(C)C(=CC2=O)CC[C@@H]2[C@@H]3CC[C@]3(C)C(=O)CC[C@@H]23)cc1,ANBPKVJPEXOLMJ-NEKODSHDSA-N,4.41,CHEMBL5241054
CHEMBL226841,N#Cc1ccc(N(Cc2ccc(O)c(C#N)c2)n2cnnc2)cc1,ANIDZTMRMMWUHI-UHFFFAOYSA-N,7.62,CHEMBL1145445
CHEMBL4067000,CC(C)(O)c1cncc(-n2ncc3c(C(F)(F)F)cccc32)c1,ANXYCLJRYJHMTA-UHFFFAOYSA-N,5.34,CHEMBL4028827
CHEMBL3105526,COc1ccc2c(c1)C(=O)C(c1cccnc1)CO2,AOBBNRRTJZUIJZ-UHFFFAOYSA-N,5.6,CHEMBL3102809
CHEMBL3806075,COc1c(C)cc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1C,AOHOUAQREGGAOP-UHFFFAOYSA-N,7.68,CHEMBL3804764
CHEMBL3964421,COCCS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,AOIUBDCZJGGRCL-SHQCIBLASA-N,5.0,CHEMBL3867461
CHEMBL484579,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43CF)[C@@H]1CCC2=O,AOJSNVYXFKSKGH-BGJMDTOESA-N,5.52,CHEMBL5241054
CHEMBL1933700,O[C@H](c1ccccc1)[C@@H](Cn1ccnn1)c1ccccc1,AOUFLDFQEMUYCL-DLBZAZTESA-N,7.3,CHEMBL1933061
CHEMBL3752637,C[C@]12CC[C@H]3[C@@H](Cc4noc5c4[C@]3(C)CCC5=O)[C@@H]1CC[C@@H]2O,APIDPIHWZPHRCS-DFSLXGCWSA-N,4.73,CHEMBL3751755
