activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,33969,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '19.61', 'le': '0.36', 'lle': '3.32', 'sei': '9.21'}",CHEMBL133897,,CHEMBL133897,6.12,False,http://www.openphacts.org/units/Nanomolar,252547,=,1,True,=,,IC50,nM,,750.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.75
,37563,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '18.57', 'le': '0.38', 'lle': '2.45', 'sei': '13.72'}",CHEMBL336398,,CHEMBL336398,7.00,False,http://www.openphacts.org/units/Nanomolar,252533,=,1,True,=,,IC50,nM,,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,37565,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL131588,,CHEMBL131588,,False,http://www.openphacts.org/units/Nanomolar,252530,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,38902,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '16.11', 'le': '0.34', 'lle': '1.81', 'sei': '12.78'}",CHEMBL130628,,CHEMBL130628,6.52,False,http://www.openphacts.org/units/Nanomolar,252534,=,1,True,=,,IC50,nM,,300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.3
,41170,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '17.60', 'le': '0.36', 'lle': '3.00', 'sei': '10.12'}",CHEMBL130478,,CHEMBL130478,6.10,False,http://www.openphacts.org/units/Nanomolar,252552,=,1,True,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,42363,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '16.60', 'le': '0.32', 'lle': '1.54', 'sei': '11.01'}",CHEMBL130112,,CHEMBL130112,5.62,False,http://www.openphacts.org/units/Nanomolar,252551,=,1,True,=,,IC50,nM,,2400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,2.4
,43561,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '23.59', 'le': '0.50', 'lle': '4.15', 'sei': '13.72'}",CHEMBL130098,,CHEMBL130098,7.00,False,http://www.openphacts.org/units/Nanomolar,252525,=,1,True,=,,IC50,nM,,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,44825,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL337486,,CHEMBL337486,,False,http://www.openphacts.org/units/Nanomolar,252538,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,45908,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '20.85', 'le': '0.42', 'lle': '3.89', 'sei': '10.12'}",CHEMBL336538,,CHEMBL336538,6.10,False,http://www.openphacts.org/units/Nanomolar,252527,=,1,True,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,45910,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,Potential transcription error,"Values appear to be an order of magnitude different from previously reported, so units may be incorrect",CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL131051,,CHEMBL131051,,True,http://www.openphacts.org/units/Nanomolar,252549,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,47176,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL341437,,CHEMBL341437,,False,http://www.openphacts.org/units/Nanomolar,252536,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,48497,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '23.37', 'le': '0.45', 'lle': '3.95', 'sei': '14.31'}",CHEMBL335033,,CHEMBL335033,7.30,False,http://www.openphacts.org/units/Nanomolar,252542,=,1,True,=,,IC50,nM,,50.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.05
,49173,[],CHEMBL643376,Concentration required to inhibit the mammalian Acetylcholinesterase by 50% was determined,B,BAO_0000190,BAO_0000357,single protein format,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,,,CHEMBL1130748,Bioorg. Med. Chem. Lett.,1998.0,,CHEMBL122983,,CHEMBL122983,,False,http://www.openphacts.org/units/Nanomolar,232619,>,1,True,>,,IC50,nM,,100000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,100.0
,49921,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '18.47', 'le': '0.36', 'lle': '2.39', 'sei': '12.25'}",CHEMBL338720,,CHEMBL338720,6.25,False,http://www.openphacts.org/units/Nanomolar,252543,=,1,True,=,,IC50,nM,,560.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.56
,49924,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL339995,,CHEMBL339995,,False,http://www.openphacts.org/units/Nanomolar,252541,<,1,True,<,,IC50,nM,,10.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.01
,49927,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL335158,,CHEMBL335158,,False,http://www.openphacts.org/units/Nanomolar,252532,<,1,True,<,,IC50,nM,,10.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.01
,52419,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '16.31', 'le': '0.33', 'lle': '1.43', 'sei': '11.47'}",CHEMBL131536,,CHEMBL131536,5.85,False,http://www.openphacts.org/units/Nanomolar,252531,=,1,True,=,,IC50,nM,,1400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,1.4
,52422,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '17.91', 'le': '0.34', 'lle': '2.20', 'sei': '8.60'}",CHEMBL106126,,CHEMBL106126,4.77,False,http://www.openphacts.org/units/Nanomolar,252545,=,1,True,=,,IC50,nM,,17000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,17.0
,53730,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '16.17', 'le': '0.31', 'lle': '1.79', 'sei': '9.89'}",CHEMBL334971,,CHEMBL334971,5.96,False,http://www.openphacts.org/units/Nanomolar,252548,=,1,True,=,,IC50,nM,,1100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,1.1
,56171,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL336625,,CHEMBL336625,,False,http://www.openphacts.org/units/Nanomolar,252550,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,57406,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '22.52', 'le': '0.47', 'lle': '3.82', 'sei': '14.87'}",CHEMBL130666,,CHEMBL130666,7.58,False,http://www.openphacts.org/units/Nanomolar,252535,=,1,True,=,,IC50,nM,,26.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.026
,61340,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL134061,,CHEMBL134061,,False,http://www.openphacts.org/units/Nanomolar,252539,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,62585,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '22.06', 'le': '0.44', 'lle': '3.59', 'sei': '11.95'}",CHEMBL133388,,CHEMBL133388,6.10,False,http://www.openphacts.org/units/Nanomolar,252556,=,1,True,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,62588,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL130645,,CHEMBL130645,,False,http://www.openphacts.org/units/Nanomolar,252540,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
Non classical inhibitor,62590,[],CHEMBL643385,"Inhibitory concentration against acetylcholinesterase; non classical inhibitor, maximum HSL inhibition of 50%",B,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL335112,,CHEMBL335112,,False,,252529,,1,False,,,IC50,,,,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,,,
,62592,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL133580,,CHEMBL133580,,False,http://www.openphacts.org/units/Nanomolar,252528,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,65200,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '23.33', 'le': '0.50', 'lle': '4.01', 'sei': '14.21'}",CHEMBL336524,,CHEMBL336524,7.25,False,http://www.openphacts.org/units/Nanomolar,252554,=,1,True,=,,IC50,nM,,56.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.056
,65203,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '19.33', 'le': '0.38', 'lle': '2.24', 'sei': '13.13'}",CHEMBL336276,,CHEMBL336276,6.70,False,http://www.openphacts.org/units/Nanomolar,252526,=,1,True,=,,IC50,nM,,200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,66558,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '20.08', 'le': '0.42', 'lle': '2.89', 'sei': '12.78'}",CHEMBL334395,,CHEMBL334395,6.52,False,http://www.openphacts.org/units/Nanomolar,252555,=,1,True,=,,IC50,nM,,300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.3
,66561,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '19.45', 'le': '0.40', 'lle': '3.26', 'sei': '13.13'}",CHEMBL131320,,CHEMBL131320,6.70,False,http://www.openphacts.org/units/Nanomolar,252553,=,1,True,=,,IC50,nM,,200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,66564,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL339297,,CHEMBL339297,,False,http://www.openphacts.org/units/Nanomolar,252546,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,67681,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004.0,"{'bei': '19.07', 'le': '0.39', 'lle': '3.08', 'sei': '12.35'}",CHEMBL337714,,CHEMBL337714,6.30,False,http://www.openphacts.org/units/Nanomolar,252544,=,1,True,=,,IC50,nM,,500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.5
,69669,[],CHEMBL643376,Concentration required to inhibit the mammalian Acetylcholinesterase by 50% was determined,B,BAO_0000190,BAO_0000357,single protein format,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg. Med. Chem. Lett.,1998.0,,CHEMBL122575,,CHEMBL122575,,False,http://www.openphacts.org/units/Nanomolar,232623,>,1,True,>,,IC50,nM,,100000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,100.0
,70464,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004.0,,CHEMBL130704,,CHEMBL130704,,False,http://www.openphacts.org/units/Nanomolar,252537,>,1,True,>,,IC50,nM,,50000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,72128,[],CHEMBL644102,Reversible inhibition of Human AchE,B,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL46151,,CHEMBL46151,,False,http://www.openphacts.org/units/Nanomolar,76298,=,1,True,=,,IC50,nM,,260000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.26
Not Determined,72135,[],CHEMBL644103,Compound was evaluated for Reversible inhibition of Human AchE; Not determined,B,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1,,,CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL296010,,CHEMBL296010,,False,,76277,,1,False,,,IC50,,,,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,,,
,72405,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],,,CHEMBL1126972,J. Med. Chem.,1993.0,"{'bei': '34.29', 'le': '0.65', 'lle': '5.72', 'sei': '25.92'}",CHEMBL54126,NEOSTIGMINE BROMIDE,CHEMBL278020,7.66,False,http://www.openphacts.org/units/Nanomolar,301730,=,1,True,=,,IC50,nM,,22.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,22.0
Not Determined,73143,[],CHEMBL644103,Compound was evaluated for Reversible inhibition of Human AchE; Not determined,B,BAO_0000190,BAO_0000357,single protein format,CCCS/C(=N\O)C(=O)c1ccc(Br)cc1,,,CHEMBL1123431,J. Med. Chem.,1986.0,,CHEMBL295017,,CHEMBL295017,,False,,76297,,1,False,,,IC50,,,,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,,,
